id;chapter_id;hs4;label;present;meta;updated_at
4;1;0104;Animaux vivants des espèces ovine ou caprine;True;"{""lang"": ""fr"", ""source"": ""ADII"", ""scraped_at"": ""2026-01-20T15:03:41.318606"", ""parser_version"": ""v1.3""}";2026-01-20 14:04:15.357223
11;2;0205;NA;True;"{""lang"": ""fr"", ""source"": ""ADII"", ""scraped_at"": ""2026-01-20T16:19:21.438475"", ""parser_version"": ""v1.3""}";2026-01-20 15:20:10.923096
15;2;0209;NA;True;"{""lang"": ""fr"", ""source"": ""ADII"", ""scraped_at"": ""2026-01-20T17:05:21.174422"", ""parser_version"": ""v1.3""}";2026-01-20 16:06:04.180885
6;1;0106;Autres animaux vivants£- Mammifères :;True;"{""lang"": ""fr"", ""source"": ""ADII"", ""scraped_at"": ""2026-01-20T15:56:03.815701"", ""parser_version"": ""v1.3""}";2026-01-20 14:56:41.200108
8;2;0202;Viandes des animaux de l'espèce bovine, congelées;True;"{""lang"": ""fr"", ""source"": ""ADII"", ""scraped_at"": ""2026-01-20T16:08:39.543282"", ""parser_version"": ""v1.3""}";2026-01-20 15:09:12.068458
9;2;0203;Viandes des animaux de l'espèce porcine, fraîches, réfrigérées ou congelées.£- Fraîches ou réfrigérées :;True;"{""lang"": ""fr"", ""source"": ""ADII"", ""scraped_at"": ""2026-01-20T16:10:28.229819"", ""parser_version"": ""v1.3""}";2026-01-20 15:11:01.838177
13;2;0207;- - Viandes et abats comestibles, frais, réfrigérés ou congelés, des volailles du n° 01.05.£- De coqs et de poules :;True;"{""lang"": ""fr"", ""source"": ""ADII"", ""scraped_at"": ""2026-01-20T16:30:59.271960"", ""parser_version"": ""v1.3""}";2026-01-20 15:31:49.136605
12;2;0206;- - - Abats comestibles des animaux des espèces bovine, porcine, ovine, caprine, chevaline, asine ou mulassière, frais, réfrigérés ou congelés.;True;"{""lang"": ""fr"", ""source"": ""ADII"", ""scraped_at"": ""2026-01-20T16:19:56.450956"", ""parser_version"": ""v1.3""}";2026-01-20 15:21:08.117737
5;1;0105;Coqs, poules, canards, oies, dindons, dindes et pintades, vivants, des espèces domestiques.£- D'un poids n'excédant pas 185 g :;True;"{""lang"": ""fr"", ""source"": ""ADII"", ""scraped_at"": ""2026-01-20T15:52:52.878690"", ""parser_version"": ""v1.3""}";2026-01-20 14:53:26.844397
16;2;0210;"- - - Viandes et abats comestibles, salés ou en saumure, séchés ou fumés; farines et poudres, comestibles, de viandes ou d'abats.£- Viandes de l'espèce porcine :";True;"{""lang"": ""fr"", ""source"": ""ADII"", ""scraped_at"": ""2026-01-20T17:06:10.728176"", ""parser_version"": ""v1.3""}";2026-01-20 16:06:51.575837
17;3;0301;Poissons vivants;True;"{""lang"": ""fr"", ""source"": ""ADII"", ""scraped_at"": ""2026-01-20T17:16:43.894436"", ""parser_version"": ""v1.3""}";2026-01-20 16:17:55.200359
14;2;0208;Autres viandes et abats comestibles, frais, réfrigérés ou congelés;True;"{""lang"": ""fr"", ""source"": ""ADII"", ""scraped_at"": ""2026-01-20T16:53:11.933767"", ""parser_version"": ""v1.3""}";2026-01-20 15:53:56.792138
18;3;0302;Poissons frais ou réfrigérés, à l'exception des filets de poissons etautre chair de poissons du n° 03.04.– Salmonidés, à l'exclusion des abats de poissons comestiblesdes n° 0302.91 à 0302.99 : Poissons frais ou réfrigérés, à l'exception des filets de poissons et autre chair de poissons du n° 03.04. - Salmonidés, à l'exclusion des foies, oeufs et laitances :;True;"{""lang"": ""fr"", ""source"": ""ADII"", ""scraped_at"": ""2026-01-20T17:28:17.389692"", ""parser_version"": ""v1.3""}";2026-01-20 16:29:09.954790
3;1;0103;Animaux vivants de l'espèce porcine;True;"{""lang"": ""fr"", ""source"": ""ADII"", ""scraped_at"": ""2026-01-20T15:02:23.342144"", ""parser_version"": ""v1.3""}";2026-01-20 14:02:57.329778
7;2;0201;Viandes des animaux de l'espèce bovine, fraîches ou réfrigérées;True;"{""lang"": ""fr"", ""source"": ""ADII"", ""scraped_at"": ""2026-01-20T16:05:32.355786"", ""parser_version"": ""v1.3""}";2026-01-20 15:06:05.397463
10;2;0204;Viandes des animaux des espèces ovine ou caprine, fraîches, réfri- gérées ou congelées.;True;"{""lang"": ""fr"", ""source"": ""ADII"", ""scraped_at"": ""2026-01-20T16:13:21.907279"", ""parser_version"": ""v1.3""}";2026-01-20 15:14:27.814701
1;1;0101;Chevaux, ânes, mulets et bardots, vivants;True;"{""lang"": ""fr"", ""source"": ""ADII"", ""scraped_at"": ""2026-01-20T13:54:03.250568"", ""parser_version"": ""v1.3""}";2026-01-20 12:54:41.931487
2;1;0102;Animaux vivants de l'espèce bovine;True;"{""lang"": ""fr"", ""source"": ""ADII"", ""scraped_at"": ""2026-01-20T14:58:23.180307"", ""parser_version"": ""v1.3""}";2026-01-20 13:59:10.601514
