id;hs4_id;hs6;label;present;meta;updated_at
16;5;010512;NA;True;"{""lang"": ""fr"", ""source"": ""ADII"", ""scraped_at"": ""2026-01-20T15:53:29.780027"", ""parser_version"": ""v1.3""}";2026-01-20 14:54:05.174311
1;1;010121;NA;True;"{""lang"": ""fr"", ""source"": ""ADII"", ""scraped_at"": ""2026-01-20T13:54:03.250568"", ""parser_version"": ""v1.3""}";2026-01-20 12:54:41.931487
3;1;010130;NA;True;"{""lang"": ""fr"", ""source"": ""ADII"", ""scraped_at"": ""2026-01-20T13:54:44.738329"", ""parser_version"": ""v1.3""}";2026-01-20 12:55:17.021559
17;5;010513;- - Canards;True;"{""lang"": ""fr"", ""source"": ""ADII"", ""scraped_at"": ""2026-01-20T15:54:07.145216"", ""parser_version"": ""v1.3""}";2026-01-20 14:54:40.688864
18;5;010514;- - Oies;True;"{""lang"": ""fr"", ""source"": ""ADII"", ""scraped_at"": ""2026-01-20T15:54:08.640555"", ""parser_version"": ""v1.3""}";2026-01-20 14:54:46.348558
19;5;010515;- - pintades;True;"{""lang"": ""fr"", ""source"": ""ADII"", ""scraped_at"": ""2026-01-20T15:54:45.527391"", ""parser_version"": ""v1.3""}";2026-01-20 14:55:18.739438
6;2;010229;- - Autres;True;"{""lang"": ""fr"", ""source"": ""ADII"", ""scraped_at"": ""2026-01-20T14:59:10.095682"", ""parser_version"": ""v1.3""}";2026-01-20 13:59:45.068517
7;2;010231;;False;"{""lang"": ""fr"", ""source"": ""ADII"", ""scraped_at"": ""2026-01-20T15:01:06.229653"", ""parser_version"": ""v1.3""}";2026-01-20 14:01:40.169613
8;2;010239;;False;"{""lang"": ""fr"", ""source"": ""ADII"", ""scraped_at"": ""2026-01-20T15:01:27.986832"", ""parser_version"": ""v1.3""}";2026-01-20 14:02:02.513817
9;2;010290;- - - - - Autres£- - - des espèces domestiques :;True;"{""lang"": ""fr"", ""source"": ""ADII"", ""scraped_at"": ""2026-01-20T15:01:48.015865"", ""parser_version"": ""v1.3""}";2026-01-20 14:02:27.502706
10;3;010310;;False;"{""lang"": ""fr"", ""source"": ""ADII"", ""scraped_at"": ""2026-01-20T15:02:23.342144"", ""parser_version"": ""v1.3""}";2026-01-20 14:02:57.329778
11;3;010391;- - D'un poids inférieur à 50 kg;True;"{""lang"": ""fr"", ""source"": ""ADII"", ""scraped_at"": ""2026-01-20T15:02:45.205394"", ""parser_version"": ""v1.3""}";2026-01-20 14:03:19.483070
12;3;010392;- - D'un poids égal ou supérieur à 50 kg;True;"{""lang"": ""fr"", ""source"": ""ADII"", ""scraped_at"": ""2026-01-20T15:03:09.071491"", ""parser_version"": ""v1.3""}";2026-01-20 14:03:43.264969
21;5;010594;NA;True;"{""lang"": ""fr"", ""source"": ""ADII"", ""scraped_at"": ""2026-01-20T15:55:21.239220"", ""parser_version"": ""v1.3""}";2026-01-20 14:55:58.136078
32;6;010641;- - Abeilles;True;"{""lang"": ""fr"", ""source"": ""ADII"", ""scraped_at"": ""2026-01-20T16:03:31.384754"", ""parser_version"": ""v1.3""}";2026-01-20 15:04:08.262227
13;4;010410;- De l'espèce ovine;True;"{""lang"": ""fr"", ""source"": ""ADII"", ""scraped_at"": ""2026-01-20T15:03:41.318606"", ""parser_version"": ""v1.3""}";2026-01-20 14:04:15.357223
20;5;010599;NA;True;"{""lang"": ""fr"", ""source"": ""ADII"", ""scraped_at"": ""2026-01-20T15:55:22.194739"", ""parser_version"": ""v1.3""}";2026-01-20 14:55:55.770821
